month,web_clicks,web_impressions,web_ctr,image_clicks,image_impressions,image_ctr,video_clicks,video_impressions,video_ctr,news_clicks,news_impressions,news_ctr,discover_clicks,discover_impressions,discover_ctr,googleNews_clicks,googleNews_impressions,googleNews_ctr,total_clicks,total_impressions,total_ctr
2026-02,3681,88707,0.041496161520511346,3,2502,0.001199040767386091,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,3684,91211,0.04038986525747991
2026-01,3981,100459,0.03962810698892085,10,1288,0.007763975155279503,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3991,101747,0.03922474372708778
2025-12,3213,110582,0.029055361632092023,4,940,0.00425531914893617,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3217,111522,0.028846326285396604
2025-11,4765,142513,0.03343554623087017,0,1998,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4765,144511,0.03297326847091225
2025-10,5229,138603,0.03772645613731305,9,1053,0.008547008547008548,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5238,139656,0.03750644440625537
2025-09,4052,152581,0.026556386443921588,6,803,0.007471980074719801,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4058,153384,0.026456475251655974
2025-08,3626,166917,0.02172337149601299,2,780,0.002564102564102564,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3628,167697,0.0216342570230833
2025-07,5038,182044,0.02767462811188504,4,490,0.00816326530612245,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5042,182534,0.027622251197037265
2025-06,5042,177985,0.028328229907014637,3,460,0.006521739130434782,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5045,178445,0.02827201658774412
2025-05,5606,153021,0.036635494474614595,8,591,0.01353637901861252,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5614,153612,0.03654662396166966
2025-04,6663,147001,0.0453262222705968,5,475,0.010526315789473684,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6668,147476,0.0452141365374705
2025-03,7449,146613,0.05080722718994905,9,550,0.016363636363636365,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7458,147163,0.05067849935105971
2025-02,6403,146037,0.043845052966029155,1,547,0.0018281535648994515,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6404,146584,0.04368826065600611
2025-01,5932,157920,0.03756332320162108,2,705,0.0028368794326241137,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5934,158625,0.03740898345153664
2024-12,4199,126913,0.033085657103685204,2,488,0.004098360655737705,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4201,127401,0.032974623433097074
2024-11,5186,150397,0.034482070785986425,4,523,0.0076481835564053535,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5190,150920,0.03438908030744765
